ID,estimate,estimate.simplified
136,burrow density,burrow.density
137,individuals/g,density
138,10^9 cells/g,omit
139,Richness,richness
140,Abundance,abundance
141,birds/plot,density
142,% cover decreasers,omit
143,grass diversity,diversity
144,forb diversity,diversity
145,height,height
146,% cover bare,percent.cover
147,% cover fob,percent.cover
148,% cover grass,percent.cover
149,% cover increases,omit
150,Hurlbert?s PIE (Family),omit
151,Hurlbert?s PIE (species),omit
152,litter depth,omit
153,Margalef?s family,omit
154,Margalef?s species,omit
155,brown cover,omit
156,letter cover,omit
157,canopy height,height
158,Family richness,richness
159,green cover',percent.cover
160,% predators,omit
161,bare ground,omit
162,% Family dominance,omit
163,% Species dominance,omit
164,Total individuals,abundance
165,residual wing length,wing.length
166,height heterogeneity,omit
167,grass richness,richness
168,grasshopper richness,richness
169,grasshopper body length,body.length
170,vegetation height,height
171,grasshopper abundance,abundance
172,percent grass canopy,percent.cover
173,Number species,richness
174,Number ant species,richness
175,Number lizard scat,scat density
176,shrub cover,percent.cover
177,Tree cover,percent.cover
178,Forb cover,percent.cover
179,Exotic richness,richness
180,Native richness,richness
181,Bare soil cover,omit
182,Shrub cover,percent.cover
183,Vegetation cover,percent.cover
184,Height,height
185,Grass cover,percent.cover
186,Native cover,percent.cover
187,Exotic cover,percent.cover
188,Number orders,omit
189,Number morphospecies,richness
190,Total,omit
191,eenness,evenness
192,hyphal length,hyphal.length
193,spore density,spore density
194,survival (artificial nest),survival
195,survival (tracking tunnel),survival
196,quantity,abundance
197,adult richness,richness
198,soil microbial biomass carbon abundance,biomass
199,shannon index,shannon
200,abundance (nymphss;  21-24 july),abundance
201,abundance (nymphss; 14-17 july),abundance
202,abundance (nymphss; 8-13 july),abundance
203,abundance (nymphss; 5-8 august),abundance
204,abundance (adults; 14-17 july),abundance
205,abundance (adults; 5-8 august),abundance
206,abundance (adults;  21-24 july),abundance
207,abundance (adults; 8-13 july),abundance
208,burrow entrances,burrow.density
209,nearest neighbour distance,omit
210,immunoreactive corticosterone metabolites (Female),omit
211,immunoreactive corticosterone metabolites (Male),omit
212,density (survey),density
213,density (baited trap),density
214,size,omit
215,richness (1100 individuals),richness
216,abundance (grass),abundance
217,composition (axis 1),omit
218,composition (axis 2),omit
219,summer survival,survival
220,winter survival,survival
221,# pregancies,offspring.abd
222,relative abundance,omit
223,belowground biomass,biomass
224,aboveground biomass,biomass
225,mound density,density
226,mound basal area,omit
227,body mass,body.mass
228,richness of space web builders,omit
229,richness of ground runners,omit
230,coarse woody debris cover m3,omit
231,abundance of space web builders,omit
232,richness of forest specialist,omit
233,abundance of ground runners,omit
234,richness of wandering sheet/tangle weavers,omit
235,richness of all species,richness
236,abundance of forest specialist,omit
237,abundance of wandering sheet/tangle weavers,omit
238,abundance of all species,abundance
239,bareground,omit
240,ground vegetation cover,percent.cover
241,litter cover,percent.cover
242,fine woody debris cover,percent.cover
243,proportiol body mass growth rate,body mass growth rate
244,preferred food pre-hibertion,omit
245,preferred food post-hibertion,omit
246,total food post-hibertion ,omit
247,post-hibertion abundance across years,abundance
248,pre-hibertion abundance across years,abundance
249,total food pre-hibertion ,omit
250,body mass g,body.mass
251,dimorphic richness,richness
252,large-eye richness,richness
253,carnivores richness,richness
254,short-winged richness,richness
255,total biomass,biomass
256,herbivores richness,richness
257,long-winged richness,richness
258,small-eye richness,richness
259,structural heterogeneity,omit
260,large-eye abundance,abundance
261,carnivores abundance,abundance
262,short-winged abundance,abundance
263,herbivores abundance,abundance
264,long-winged abundance,abundance
265,dimorphic abundance,abundance
266,small-eye abundance,abundance
267,Bodysize,body.size
268,Width,omit
269,l.w.ratio,l.w.ratio
270,Length,omit
271,Predators abundance,omit
272,Omnivores abundance,omit
273,Fungivores abundance,omit
274,Plant_feeders abundance,omit
275,biomass (?g/ kg dry soil),biomass
276,Bacterivores abundance,omit
277,Total abundance,abundance
278,percentage of woody species cover,percent.cover
279,"density of insectivorous, ground-feeding migrants (n/ha)",omit
280,"density of Insectivorous, arboreal residents (n/ha)",omit
281,"density of insectivorous, arboreal migrants (n/ha)",omit
282,"density of insectivorous, ground-feeding residents (n/ha)",omit
283,density of granivorous ground-feeding residents (n/ha),omit
284,density of all bird species (n/ha),density
285,cover of dicots,omit
286,litter,litter.cover
287,cover of monocots,omit
288,cover of total vegetation,percent.cover
289,density per ha,density
290,number of nests,nest.abd
291,number of solitary caterpillars,abundance
292,growth rate,growth.rate
293,nutrient exchange site colonization,omit
294,percent root length colonization,omit
295,vesicle colonization,vesicle colonization
296,percentage of root colonization with vesicles,omit
297,percentage of root colonization with hyphal,omit
298,percentage of root colonization with mycorrhiza hyphal,omit
299,percentage of root with arbuscule colonization,omit
300,groundcover biomass gm2 at range wide,biomass
301,groundcover biomass gm2 at foraging site,biomass
302,feeding seconds/step,omit
303,traveling time adult female,omit
304,browse biomass gm2 at range wide,biomass
305,grazing time adult female,feeding.time
306,grazing time adult male,feeding.time
307,browsing time adult female,feeding.time
308,traveling time adult male,omit
309,browsing time adult male,feeding.time
310,grazing time adult yearling,feeding.time
311,traveling time adult yearling,omit
312,browsing time adult yearling,feeding.time
313,browse biomass gm2 at foraging site,biomass
314,foraging efficiency,foraging efficiency
315,proportion of shallow burrows remaing intact,burrow.density
316,proportion of deep burrows remaing intact,burrow.density
317,burrow depth,burrow.depth
318,fractial dimension,omit
319,mean step length,omit
320,"net displacement, m",omit
321,Abundance of ecotone species,abundance
322,bird diversity,diversity
323,Abundance of grassland species,abundance
324,Abundance of shrub species,abundance
325,Abundance of woodland species,abundance
326,tree cover,percent.cover
327,heterogeneith of vegetation height (CV percentage),omit
328,"vegetation height, cm",height
329,richness at trap in dry season,richness
330,richness at trap in wet season,richness
331,canopy cover,percent.cover
332,richness at transect in dry season,richness
333,richness at transect in wet season,richness
334,richness at site in dry season,richness
335,richness at site in wet season,richness
336,adventive,richness
337,NT threatened species,rare.richness
338,TRE threatened species,rare.richness
339,transylvania endemic,richness
340,diurl TRE threatened species,richness
341,nocturl TRE threatened species,rare.richness
342,eastern europe endemic,rare.richness
343,diurl LC threatened species,rare.richness
344,diurl NT threatened species,rare.richness
345,nocturl,richness
346,nocturl LC threatened species,rare.richness
347,richness of nocturl,richness
348,richness of diurl,richness
349,widespread,omit
350,LC threatened species,rare.richness
351,abundance of nocturl,abundance
352,abundance of diurl,abundance
353,red-listed butterfly species richness,rare.richness
354,magement dependent plant species richness,richness
355,butterfly richness,richness
356,beetle richness,richness
357,hoverfly richness,richness
358,bee richness,richness
359,plant species richness,richness
360,beetle abundance,abundance
361,butterfly abundance,abundance
362,hoverfly abundance,abundance
363,bee abundance,abundance
364,bee richness without Apis mellifera,richness
365,bee richness with Apis mellifera,richness
366,bee abundance without Apis mellifera,abundance
367,bee abundance with Apis mellifera,abundance
368,insect pollited plant richness,omit
369,insect pollited plant cover,omit
370,Alatalo's evenness index of grassland species,omit
371,Alatalo's evenness index of all species,evenness
372,alpha evenness index of grassland species,omit
373,N2 diversity index of grassland species,omit
374,N2 diversity index of all species,diveri
375,N1 diversity index of grassland species,omit
376,grassland rarefied species,omit
377,N1 diversity index of all species,omit
378,alpha evenness index of all species,omit
379,all rarefied species,omit
380,richness of grassland species,richness
381,abundance of grassland species,abundance
382,richness declining species,richness
383,richness non-declining species,richness
384,density declining species,density
385,density non-declining species,density
386,vegetation height 0-15 cm,height
387,woody species cover,percent.cover
388,vegetation height 15-30 cm,height
389,vegetation height >30 cm,height
390,spring density/ha,density
391,winter density/ha,density
392,male density,density
393,brood size,offspring.abd
394,female density,density
395,juveniles/female,offspring.abd
396,breeding success,breeding success
397,brood percentage,omit
398,abundance of ant colony,abundance
399,small insectivorous local extinction/recolonization,omit
400,tree/shrub foragers local extinction/recolonization,omit
401,large insectivorous local extinction/recolonization,omit
402,grass height,height
403,small mixed diet local extinction/recolonization,omit
404,mixed diet local extinction/recolonization,omit
405,individual theft,omit
406,individual walking,omit
407,individual sucking,omit
408,individual nesting,omit
409,individual running,omit
410,visitors per plot,visitation.rate
411,individual robbery,omit
412,individual in copule,omit
413,prop. flowers visite,visitation.rate
414,individual searching,omit
415,visitation rate,visitation.rate
416,visitor activity diversity,omit
417,individual flying,omit
418,individual resting,omit
419,prop. switching visitors,omit
420,individual collecting pollen,omit
421,individual feeding on pollen,omit
422,visitor richness,richness
423,number of switching visitors,omit
424,number of plant visited,omit
425,individual feeding on nector,omit
426,visitor abundance,abundance
427,number flowers,abundance
428,flower visitation frequency,visitation.rate
429,grasshopper days,omit
430,grasshopper days for all species,omit
431,stage-specific survival,survival
432,density/m2,density
433,consumption/kg ha,consumption
434,standardized species richness,omit
435,richness of generalist species,omit
436,richness of specialist species,omit
437,richness of all taxa,richness
438,abundance of generalist species,omit
439,abundance of specialist species,omit
440,abundance of all taxa,abundance
441,alpha diversity,diversity
442,beta diversity,oit
443,number of territory,number of territory
444,number of species asscociated with sandy soils,omit
445,number of vegetation dwelling species asscociated with sandy soils,omit
446,number of total species,richness
447,number of vegetatioin dwelling species,omit
448,Soil respiration (ul CO2 g/DW hour),soil respiration
449,Microbial biomass (ug biomass-C / g DW),biomass
450,Density of total Collembla (#/m2),density
451,Number of species vegetation and litter,richness
452,Number of species soil ,richness
453,Visual obstruction (score),omit
454,microbial P (ug/gsoil) 10-20 cm,microbial mass
455,microbial N (ug/gsoil) 10-20 cm,microbial mass
456,microbial P (ug/gsoil) 0-10 cm,microbial mass
457,microbial N (ug/gsoil) 0-10 cm,microbial mass
458,microbial C (ug/gsoil) 10-20 cm,microbial mass
459,microbial C (ug/gsoil) 0-10 cm,microbial mass
460,diversity (H),diversity
461,Fecal Egg Count,omit
462,percent occurrence,occurrence
463,n caught/400 trap nights,trapped.individuals
464,Shannon Diversity Index,shannon
465,Canopy cover,percent.cover
466,Droppings,scat density
467,Frequency of Occurence,occurrence
468,proportion of habitat use,habitat area
469,Overwinter Survival,survival
470,Density,density
471,population size,abundance
472,Grass diversity (H),diversiy
473,Trap success (%),omit
474,Grass height,height
475,Grass cover (%),percent.cover
476,Shannon evenness,shannon
477,Grass height (cm),height
478,Density of active nests,nest.abd
479,Daily survival rate incubation,omit
480,Daily survival rate chick,omit
481,Simpson Diversity Biomass,biomass
482,Shannon Diversity Abundance,abundance
483,Shannon Diversity Biomass,biomass
484,Simpson Diversity Abundance,abundance
485,Biomass (ug),biomass
486,Abundance (N),abundance
487,hare count,abundance
488,rabbit count,abundance
489,% abundance,omit
490,% total abundance,omit
491,nestling condition,nestling condition
