"Estimate","estimate.simplified","est.reduced"
"small mammal abundance/100 trap nights","trapped.individuals","abundance"
"soil denisty (per 200 m3)","density","abundance"
"soil microbial biomass carbon abundance","biomass","abundance"
"Soil respiration (ul CO2 g/DW hour)","soil respiration","abundance"
"species rich","richness","diversity"
"species richness","richness","diversity"
"Species richness/g soil","richness","diversity"
"Species Richness/plot","richness","diversity"
"Species richness/pot","richness","diversity"
"Spore abundance/g soil","spore density","abundance"
"spore density","spore density","abundance"
"spores/g soil","spore density","abundance"
"spring density/ha","density","abundance"
"taxa","richness","diversity"
"termite abundance index","abundance","abundance"
"Total abundance","abundance","abundance"
"total biomass","biomass","abundance"
"total cover (%)","percent.cover","abundance"
"Total individuals","abundance","abundance"
"Total taxon richness","richness","diversity"
"transylvania endemic","richness","diversity"
"trapped individuals","trapped.individuals","abundance"
"TRE threatened species","rare.richness","diversity"
"tree abundance","abundance","abundance"
"tree cover","percent.cover","abundance"
"Tree cover","percent.cover","abundance"
"understorey percent cover","percent.cover","abundance"
"Vegetation cover","percent.cover","abundance"
"vegetation height","height","abundance"
"vegetation height (cm)","height","abundance"
"Vegetation height (cm)","height","abundance"
"vegetation height >30 cm","height","abundance"
"vegetation height, cm","height","abundance"
"vesicle colonization","vesicle colonization","abundance"
"visitor abundance","abundance","abundance"
"visitor richness","richness","diversity"
"winter density/ha","density","abundance"
"woody species cover","percent.cover","abundance"
