uniqueID,Search,Title,Authors,Source Title,Publication Date,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations,Average per Year
25,A,"THE ECOLOGY OF PLANTS, LARGE MAMMALIAN HERBIVORES, AND DROUGHT IN YELLOWSTONE-NATIONAL-PARK","FRANK, DA; MCNAUGHTON, SJ",ECOLOGY,Dec-92,1992,73,6,2043,2058,10.2307/1941454,143,5.3
26,A,Effects of migratory grazers on spatial heterogeneity of soil nitrogen properties in a grassland ecosystem,"Augustine, DJ; Frank, DA",ECOLOGY,Nov-01,2001,82,11,3149,3162,10.1890/0012-9658(2001)082[3149:EOMGOS]2.0.CO;2,141,7.83
27,A,The boundaries of river systems: the metazoan perspective,"Ward, JV; Bretschko, G; Brunke, M; Danielopol, D; Gibert, J; Gonser, T; Hildrew, AG",FRESHWATER BIOLOGY,Nov-98,1998,40,3,531,569,10.1046/j.1365-2427.1998.00368.x,141,6.71
28,A,GAP COLONIZATION AS A SOURCE OF GRASSLAND COMMUNITY CHANGE - EFFECTS OF GAP SIZE AND GRAZING ON THE RATE AND MODE OF COLONIZATION BY DIFFERENT SPECIES,"BULLOCK, JM; HILL, BC; SILVERTOWN, J; SUTTON, M",OIKOS,Mar-95,1995,72,2,273,282,10.2307/3546229,141,5.88
29,A,MANAGING SPECIES-DIVERSITY IN TALLGRASS PRAIRIE - ASSUMPTIONS AND IMPLICATIONS,"HOWE, HF",CONSERVATION BIOLOGY,Sep-94,1994,8,3,691,704,10.1046/j.1523-1739.1994.08030691.x,141,5.64
30,A,CHANGES IN SPIDER (ARANEAE) ASSEMBLAGES IN RELATION TO SUCCESSION AND GRAZING MANAGEMENT,"GIBSON, CWD; HAMBLER, C; BROWN, VK",JOURNAL OF APPLIED ECOLOGY,1992,1992,29,1,132,142,10.2307/2404356,139,5.15
31,A,Livestock grazing: animal and plant biodiversity of shortgrass steppe and the relationship to ecosystem function,"Milchunas, DG; Lauenroth, WK; Burke, IC",OIKOS,Oct-98,1998,83,1,65,74,10.2307/3546547,134,6.38
32,A,Root biomass and productivity in a grazing ecosystem: The Serengeti,"McNaughton, SJ; Banyikwa, FF; McNaughton, MM",ECOLOGY,Mar-98,1998,79,2,587,592,10.1890/0012-9658(1998)079[0587:RBAPIA]2.0.CO;2,134,6.38
33,A,COMPETITION AND THE STRUCTURE OF A BENTHIC STREAM COMMUNITY,"KOHLER, SL",ECOLOGICAL MONOGRAPHS,Jun-92,1992,62,2,165,188,10.2307/2937092,134,4.96
34,A,How open were European primeval forests? Hypothesis testing using palaeoecological data,"Mitchell, FJG",JOURNAL OF ECOLOGY,Feb-05,2005,93,1,168,177,10.1111/j.1365-2745.2004.00964.x,133,9.5
35,A,Expansion of woody plants in tallgrass prairie: A fifteen-year study of fire and fire-grazing interactions,"Briggs, JM; Knapp, AK; Brock, BL",AMERICAN MIDLAND NATURALIST,Apr-02,2002,147,2,287,294,10.1674/0003-0031(2002)147[0287:EOWPIT]2.0.CO;2,133,7.82
36,A,Consequences of succession on extensively grazed grasslands for central European butterfly communities: Rethinking conservation practices,"Balmer, O; Erhardt, A",CONSERVATION BIOLOGY,Jun-00,2000,14,3,746,757,10.1046/j.1523-1739.2000.98612.x,132,6.95
37,A,Grazing effect on diversity of annual plant communities in a semi-arid rangeland: interactions with small-scale spatial and temporal variation in primary productivity,"Osem, Y; Perevolotsky, A; Kigel, J",JOURNAL OF ECOLOGY,Dec-02,2002,90,6,936,946,10.1046/j.1365-2745.2002.00730.x,131,7.71
38,A,Top-down versus bottom-up control of autotrophic biomass - a meta-analysis on experiments with periphyton,"Hillebrand, H",JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,Sep-02,2002,21,3,349,369,10.2307/1468475,131,7.71
39,A,Conservation value of remnant riparian forest corridors of varying quality for Amazonian birds and mammals,"Lees, Alexander C.; Peres, Carlos A.",CONSERVATION BIOLOGY,Apr-08,2008,22,2,439,449,10.1111/j.1523-1739.2007.00870.x,129,11.73
40,A,Comparison of structural and functional approaches to determining landuse effects on grassland stream invertebrate communities,"Doledec, S; Phillips, N; Scarsbrook, M; Riley, RH; Townsend, CR",JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,Mar-06,2006,25,1,44,60,10.1899/0887-3593(2006)25[44:COSAFA]2.0.CO;2,129,9.92
41,A,"A positive feedback: Herbivory, plant growth, salinity, and the desertification of an Arctic salt-marsh","Srivastava, DS; Jefferies, RL",JOURNAL OF ECOLOGY,Feb-96,1996,84,1,31,42,10.2307/2261697,129,5.61
42,A,Soil seed bank composition along a gradient from dry alvar grassland to Juniperus shrubland,"Bakker, JP; Bakker, ES; Rosen, E; Verweij, GL; Bekker, RM",JOURNAL OF VEGETATION SCIENCE,May-96,1996,7,2,165,176,10.2307/3236316,128,5.57
43,A,SOIL SEED BANK AFTER 18 YEARS OF SUCCESSION FROM GRASSLAND TO FOREST,"MILBERG, P",OIKOS,Feb-95,1995,72,1,3,13,10.2307/3546031,128,5.33
44,A,EVIDENCE FOR THE PROMOTION OF ABOVEGROUND GRASSLAND PRODUCTION BY NATIVE LARGE HERBIVORES IN YELLOWSTONE-NATIONAL-PARK,"FRANK, DA; MCNAUGHTON, SJ",OECOLOGIA,Nov-93,1993,96,2,157,161,10.1007/BF00317727,127,4.88
45,A,"Changes in soil properties and vegetation following exclosure and grazing in degraded Alxa desert steppe of Inner Mongolia, China","Pei, Shifang; Fu, Hua; Wan, Changgui",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,Mar-08,2008,124,01-Feb,33,39,10.1016/j.agee.2007.08.008,126,11.45
46,A,"RESPONSES OF BIRDS, RODENTS, AND VEGETATION TO LIVESTOCK EXCLOSURE IN A SEMIDESERT GRASSLAND SITE","BOCK, CE; BOCK, JH; KENNEY, WR; HAWTHORNE, VM",JOURNAL OF RANGE MANAGEMENT,1984,1984,37,3,239,242,10.2307/3899146,126,3.6
47,A,GROWTH-RATE IS NEGATIVELY CORRELATED WITH HATCH DATE IN BLACK BRANT,"SEDINGER, JS; FLINT, PL",ECOLOGY,Apr-91,1991,72,2,496,502,10.2307/2937190,124,4.43
48,A,"Nurse plants, tree saplings and grazing pressure: changes in facilitation along a biotic environmental gradient","Smit, Christian; Vandenberghe, Charlotte; den Ouden, Jan; Mueller-Schaerer, Heinz",OECOLOGIA,May-07,2007,152,2,265,273,10.1007/s00442-006-0650-6,123,10.25
49,A,Determinants of soil CO2 flux from a sub-humid grassland: Effect of fire and fire history,"Knapp, AK; Conard, SL; Blair, JM",ECOLOGICAL APPLICATIONS,Aug-98,1998,8,3,760,770,10.2307/2641264,122,5.81
50,A,SEEDLING HERBIVORY IN GRASSLAND - RELATIVE IMPACT OF VERTEBRATE AND INVERTEBRATE HERBIVORES,"HULME, PE",JOURNAL OF ECOLOGY,Dec-94,1994,82,4,873,880,10.2307/2261451,122,4.88
51,A,"VEGETATION DYNAMICS, FIRE, AND THE PHYSICAL-ENVIRONMENT IN COASTAL CENTRAL CALIFORNIA","CALLAWAY, RM; DAVIS, FW",ECOLOGY,Jul-93,1993,74,5,1567,1578,10.2307/1940084,122,4.69
52,A,Relationships between livestock management and the ecological condition of riparian habitats along an Australian floodplain river,"Jansen, A; Robertson, AI",JOURNAL OF APPLIED ECOLOGY,Feb-01,2001,38,1,63,75,,120,6.67
53,A,"INTERACTIONS AMONG IRRADIANCE, NUTRIENTS, AND HERBIVORES CONSTRAIN A STREAM ALGAL COMMUNITY","ROSEMOND, AD",OECOLOGIA,Jul-93,1993,94,4,585,594,10.1007/BF00566976,120,4.62
54,A,Cattle grazing impacts on annual forbs and vegetation composition of mesic grasslands in California,"Hayes, GF; Holl, KD",CONSERVATION BIOLOGY,Dec-03,2003,17,6,1694,1702,10.1111/j.1523-1739.2003.00281.x,119,7.44
55,A,Impacts of ungulates on the demography and diversity of small mammals in central Kenya,"Keesing, F",OECOLOGIA,Sep-98,1998,116,3,381,389,10.1007/s004420050601,119,5.67
56,A,Effects of summer grazing by caribou on composition and productivity of vegetation: Community and landscape level,"Manseau, M; Huot, J; Crete, M",JOURNAL OF ECOLOGY,Aug-96,1996,84,4,503,513,10.2307/2261473,118,5.13
57,A,AN EXPERIMENTAL FIELD-STUDY OF THE EFFECTS OF MOLLUSK GRAZING ON SEEDLING RECRUITMENT AND SURVIVAL IN GRASSLAND,"HANLEY, ME; FENNER, M; EDWARDS, PJ",JOURNAL OF ECOLOGY,Aug-95,1995,83,4,621,627,10.2307/2261630,118,4.92
58,A,"Effectiveness of exclosures to restore degraded soils as a result of overgrazing in Tigray, Ethiopia","Mekuria, Wolde; Veldkamp, E.; Halle, Mitiku; Nyssen, J.; Muys, B.; Gebrehiwota, Kindeya",JOURNAL OF ARID ENVIRONMENTS,Apr-07,2007,69,2,270,284,10.1016/j.jaridenv.2006.10.009,117,9.75
59,A,Consumer control of grassland plant production,"Frank, DA; Kuns, MM; Guido, DR",ECOLOGY,Mar-02,2002,83,3,602,606,10.2307/3071865,117,6.88
60,A,THE EFFECTS OF AGRICULTURAL MANAGEMENT ON THE SOIL BIOTA OF SOME UPLAND GRASSLANDS,"BARDGETT, RD; FRANKLAND, JC; WHITTAKER, JB",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,May-93,1993,45,01-Feb,25,45,10.1016/0167-8809(93)90057-V,117,4.5
61,A,Browsing and fire interact to suppress tree density in an African savanna,"Staver, A. Carla; Bond, William J.; Stock, William D.; van Rensburg, Sue J.; Waldram, Matthew S.",ECOLOGICAL APPLICATIONS,Oct-09,2009,19,7,1909,1919,10.1890/08-1907.1,116,11.6
62,A,Exotic grass competition in suppressing native shrubland re-establishment,"Eliason, SA; Allen, EB",RESTORATION ECOLOGY,Sep-97,1997,5,3,245,255,10.1046/j.1526-100X.1997.09729.x,116,5.27
63,A,"Herbivores, seed banks and seedling recruitment in mesic grassland","Edwards, GR; Crawley, MJ",JOURNAL OF ECOLOGY,Jun-99,1999,87,3,423,435,10.1046/j.1365-2745.1999.00363.x,115,5.75
64,A,"Long-term patterns in coastal California grasslands in relation to cultivation, gophers, and grazing","Stromberg, MR; Griffin, JR",ECOLOGICAL APPLICATIONS,Nov-96,1996,6,4,1189,1211,10.2307/2269601,113,4.91
65,A,"MAXIMIZATION OF ABOVEGROUND GRASSLAND PRODUCTION - THE ROLE OF DEFOLIATION FREQUENCY, INTENSITY, AND HISTORY","TURNER, CL; SEASTEDT, TR; DYER, MI",ECOLOGICAL APPLICATIONS,Feb-93,1993,3,1,175,186,10.2307/1941800,113,4.35
66,A,Exploring diversity in soil fertility management of smallholder farms in western Kenya - I. Heterogeneity at region and farm scale,"Tittonell, P; Vanlauwe, B; Leffelaar, PA; Rowe, EC; Giller, KE",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,NOV 1 2005,2005,110,03-Apr,149,165,10.1016/j.agree.2005.04.001,112,8
67,A,Unpalatable plants protect neighbors from grazing and increase plant community diversity,"Callaway, RM; Kikodze, D; Chiboshvili, M; Khetsuriani, L",ECOLOGY,Jul-05,2005,86,7,1856,1862,10.1890/04-0784,112,8
68,A,Ecological heterogeneity in the effects of grazing and fire on grassland diversity,"Harrison, S; Inouye, BD; Safford, HD",CONSERVATION BIOLOGY,Jun-03,2003,17,3,837,845,10.1046/j.1523-1739.2003.01633.x,110,6.88
69,A,Plant response to disturbance in a Mediterranean grassland: How many functional groups?,"Lavoral, S; McIntyre, S; Grigulis, K",JOURNAL OF VEGETATION SCIENCE,Oct-99,1999,10,5,661,672,10.2307/3237081,110,5.5
70,A,GRAZER CONTROL OF ALGAE IN AN OZARK MOUNTAIN STREAM - EFFECTS OF SHORT-TERM EXCLUSION,"POWER, ME; STEWART, AJ; MATTHEWS, WJ",ECOLOGY,Dec-88,1988,69,6,1894,1898,10.2307/1941166,110,3.55
71,A,Ungulate stimulation of nitrogen cycling and retention in Yellowstone Park grasslands,"Frank, DA; Groffman, PM; Evans, RD; Tracy, BF",OECOLOGIA,Apr-00,2000,123,1,116,121,10.1007/s004420050996,109,5.74
72,A,Effects of livestock grazing on physical and chemical properties of sandy soils in Sahelian rangelands,"Hiernaux, P; Bielders, CL; Valentin, C; Bationo, A; Fernandez-Rivera, S",JOURNAL OF ARID ENVIRONMENTS,Mar-99,1999,41,3,231,245,10.1006/jare.1998.0475,109,5.45
73,A,"Competition and compensation among cattle, zebras, and elephants in a semi-arid savanna in Laikipia, Kenya","Young, TP; Palmer, TM; Gadd, ME",BIOLOGICAL CONSERVATION,Mar-05,2005,122,2,351,359,10.1016/j.biocon.2004.08.007,108,7.71
74,A,"Herbivores and the performance of grassland plants: A comparison of arthropod, mollusc and rodent herbivory","Hulme, PE",JOURNAL OF ECOLOGY,Feb-96,1996,84,1,43,51,10.2307/2261698,108,4.7
75,A,Herbivore influence on soil microbial biomass and nitrogen mineralization in a northern grassland ecosystem: Yellowstone National Park,"Tracy, BF; Frank, DA",OECOLOGIA,May-98,1998,114,4,556,562,10.1007/s004420050480,107,5.1
76,A,Evidence for two alternate stable states in an ungulate crazing system,"Augustine, DJ; Frelich, LE; Jordan, PA",ECOLOGICAL APPLICATIONS,Nov-98,1998,8,4,1260,1269,10.2307/2640978,106,5.05
77,A,Slowing down a pine invasion despite uncertainty in demography and dispersal,"Buckley, YM; Brockerhoff, E; Langer, L; Ledgard, N; North, H; Rees, M",JOURNAL OF APPLIED ECOLOGY,Dec-05,2005,42,6,1020,1030,10.1111/j.1365-2664.2005.01100.x,105,7.5
78,A,Comparison of species composition between different grassland management treatments after 25 years,"Moog, D; Poschlod, P; Kahmen, S; Schreiber, KF",APPLIED VEGETATION SCIENCE,May-02,2002,5,1,99,106,10.1658/1402-2001(2002)005[0099:COSCBD]2.0.CO;2,105,6.18
79,A,Shifts in positive and negative plant interactions along a grazing intensity gradient,"Graff, Pamela; Aguiar, Martin R.; Chaneton, Enrique J.",ECOLOGY,Jan-07,2007,88,1,188,199,10.1890/0012-9658(2007)88[188:SIPANP]2.0.CO;2,104,8.67
80,A,Diet selection in goats: A test of intake-rate maximization,"Illius, AW; Gordon, IJ; Elston, DA; Milne, JD",ECOLOGY,Apr-99,1999,80,3,1008,1018,10.2307/177034,104,5.2
81,A,An 85-year study of saguaro (Carnegiea gigantea) demography,"Pierson, EA; Turner, RM",ECOLOGY,Dec-98,1998,79,8,2676,2693,10.2307/176509,104,4.95
82,A,Pathogen outbreaks reveal large-scale effects of competition in stream communities,"Kohler, SL; Wiley, MJ",ECOLOGY,Oct-97,1997,78,7,2164,2176,10.2307/2265953,104,4.73
83,A,"Effects of grazing and topography on dust flux and deposition in the Xilingele grassland, Inner Mongolia","Hoffmann, C.; Funk, R.; Wieland, R.; Li, Y.; Sommer, M.",JOURNAL OF ARID ENVIRONMENTS,May-08,2008,72,5,792,807,10.1016/j.jaridenv.2007.09.004,103,9.36
84,A,The role of a spiny plant refuge in structuring grazed shortgrass steppe plant communities,"Rebollo, S; Milchunas, DG; Noy-Meir, I; Chapman, PL",OIKOS,Jul-02,2002,98,1,53,64,10.1034/j.1600-0706.2002.980106.x,103,6.06
85,A,"Dynamics of Fremont cottonwood (Populus fremontii) and saltcedar (Tamarix chinensis) populations along the San Pedro River, Arizona","Stromberg, J",JOURNAL OF ARID ENVIRONMENTS,Oct-98,1998,40,2,133,155,10.1006/jare.1998.0438,102,4.86
86,A,"Grazing management impacts on vegetation, soil biota and soil chemical, physical and hydrological properties in tall grass prairie","Teague, W. R.; Dowhower, S. L.; Baker, S. A.; Haile, N.; DeLaune, P. B.; Conover, D. M.",AGRICULTURE ECOSYSTEMS & ENVIRONMENT,May-11,2011,141,03-Apr,310,322,10.1016/j.agee.2011.03.009,99,12.38
87,A,GRAZING IMPACTS ON LITTER AND SOIL ORGANIC-MATTER IN MIXED PRAIRIE AND FESCUE GRASSLAND ECOSYSTEMS OF ALBERTA,"NAETH, MA; BAILEY, AW; PLUTH, DJ; CHANASYK, DS; HARDIN, RT",JOURNAL OF RANGE MANAGEMENT,Jan-91,1991,44,1,7,12,10.2307/4002629,99,3.54
88,A,Woody plant establishment and spatial heterogeneity in grasslands,"Jurena, PN; Archer, S",ECOLOGY,Apr-03,2003,84,4,907,919,10.1890/0012-9658(2003)084[0907:WPEASH]2.0.CO;2,98,6.13
89,A,Neotropical tadpoles influence stream benthos: evidence for the ecological consequences of decline in amphibian populations,"Ranvestel, AW; Lips, KR; Pringle, CM; Whiles, MR; Bixby, RJ",FRESHWATER BIOLOGY,Mar-04,2004,49,3,274,285,10.1111/j.1365-2427.2004.01184.x,97,6.47
90,A,INTERACTIVE EFFECTS OF FIRE AND GRAZING ON STRUCTURE AND DIVERSITY OF MEDITERRANEAN GRASSLANDS,"NOYMEIR, I",JOURNAL OF VEGETATION SCIENCE,Oct-95,1995,6,5,701,710,10.2307/3236441,96,4
91,A,Spatial variability of soil properties affected by grazing intensity in Inner Mongolia grassland,"Zhao, Ying; Peth, Stephan; Krummelbein, Julia; Horn, Rainer; Wang, Zhongyan; Steffens, Markus; Hoffmann, Carsten; Peng, Xinhua",ECOLOGICAL MODELLING,JUL 10 2007,2007,205,01-Feb,241,254,10.1016/j.ecolmodel.2007.02.019,95,7.92
92,A,"Impacts of fine sediment addition to tussock, pasture, dairy and deer farming streams in New Zealand","Matthaei, Christoph D.; Weller, Florian; Kelly, David W.; Townsend, Colin R.",FRESHWATER BIOLOGY,Nov-06,2006,51,11,2154,2172,10.1111/j.1365-2427.2006.01643.x,95,7.31
93,A,Effects of cattle grazing on diversity in ephemeral wetlands,"Marty, JT",CONSERVATION BIOLOGY,Oct-05,2005,19,5,1626,1632,10.1111/j.1523-1739.2005.00198.x,95,6.79
94,A,THE IMPLICATIONS OF RED DEER GRAZING TO GROUND VEGETATION AND INVERTEBRATE COMMUNITIES OF SCOTTISH NATIVE PINEWOODS,"BAINES, D; SAGE, RB; BAINES, MM",JOURNAL OF APPLIED ECOLOGY,Nov-94,1994,31,4,776,783,10.2307/2404167,95,3.8
95,A,"Grazers, browsers, and fire influence the extent and spatial pattern of tree cover in the Serengeti","Holdo, Ricardo M.; Holt, Robert D.; Fryxell, John M.",ECOLOGICAL APPLICATIONS,Jan-09,2009,19,1,95,109,10.1890/07-1954.1,94,9.4
96,A,Effect of vertebrate grazing on plant and insect community structure,"Rambo, JL; Faeth, SH",CONSERVATION BIOLOGY,Oct-99,1999,13,5,1047,1054,10.1046/j.1523-1739.1999.98504.x,94,4.7
97,A,Importance of large and small mammalian herbivores for the plant community structure in the forest tundra ecotone,"Olofsson, J; Hulme, PE; Oksanen, L; Suominen, O",OIKOS,Aug-04,2004,106,2,324,334,10.1111/j.0030-1299.2004.13224.x,93,6.2
98,A,The interplay of physical and biological factors in maintaining mid-shore and low-shore assemblages on rocky coasts in the north-west Mediterranean,"Benedetti-Cecchi, L; Bulleri, F; Cinelli, F",OECOLOGIA,May-00,2000,123,3,406,417,10.1007/s004420051028,93,4.89
99,A,Mechanisms regulating abundance of submerged vegetation in shallow eutrophic lakes,"Weisner, SEB; Strand, JA; Sandsten, H",OECOLOGIA,Feb-97,1997,109,4,592,599,10.1007/s004420050121,93,4.23
100,A,Bird communities of natural and modified habitats in Panama,"Petit, LJ; Petit, DR; Christian, DG; Powell, HDW",ECOGRAPHY,Jun-99,1999,22,3,292,304,10.1111/j.1600-0587.1999.tb00505.x,92,4.6
101,A,Traditional Ecological Knowledge Trends in the Transition to a Market Economy: Empirical Study in the Donana Natural Areas,"Gomez-Baggethun, Erik; Mingorria, Sara; Reyes-Garcia, Victoria; Calvet, Laura; Montes, Carlos",CONSERVATION BIOLOGY,Jun-10,2010,24,3,721,729,10.1111/j.1523-1739.2009.01401.x,91,10.11
102,A,"Interactive effects of ungulate herbivores, soil fertility, and variable rainfall on ecosystem processes in a semi-arid savanna","Augustine, David J.; McNaughton, Samuel J.",ECOSYSTEMS,Dec-06,2006,9,8,1242,1256,10.1007/s10021-005-0020-y,91,7
103,A,Eucalypt establishment in agricultural landscapes and implications for landscape-scale restoration,"Dorrough, J; Moxham, C",BIOLOGICAL CONSERVATION,May-05,2005,123,1,55,66,10.1016/j.biocon.2004.10.008,91,6.5
104,A,Site productivity and plant size explain the response of annual species to grazing exclusion in a Mediterranean semi-arid rangeland,"Osem, Y; Perevolotsky, A; Kigel, J",JOURNAL OF ECOLOGY,Apr-04,2004,92,2,297,309,10.1111/j.0022-0477.2004.00859.x,91,6.07
105,A,"Long-term vegetation dynamics mediated by herbivores, weather and fire in a Juniperus-Quercus savanna","Fuhlendorf, SD; Smeins, FE",JOURNAL OF VEGETATION SCIENCE,Dec-97,1997,8,6,819,828,10.2307/3237026,91,4.14
106,A,The effect and extent of heavy grazing by reindeer in oligotrophic pine heaths in northeastern Fennoscandia,"Vare, H; Ohtonen, R; Mikkola, K",ECOGRAPHY,Sep-96,1996,19,3,245,253,10.1111/j.1600-0587.1996.tb00233.x,91,3.96
