reason,simplified.reason
soil nutrient cycling,nutrient cycling
grazing treatment confounded by burning,missing data
"plant only, however it could be included as the study examined multiple large herbivory effects on vegetation",plants only
plant only & proxy of grazing (mowing),plants only
"plant only, proxy of grazing (haying)",plants only
mowing was used as a surrogate for ungrazing,no grazing comparison
methodlogy & no grazing comparison,methods
soil water availability,atmospheric sciences
social study,other
grazing treatment confounded by mowing. There is no real grazing treatment contrasts,no grazing comparison
green house gas emission,climate emissions
social study/no grazing comparison,no grazing comparison
proxy of grazing (mowing),no grazing comparison
methological review,methods
nutrient cycling & no grazing comparison,nutrient cycling
cattle production,grazer characteristics
litter decomposition,nutrient cycling
grazing treatments were confounded by other treatments,no grazing comparison
"plant, soil, and no grazing comparison",plants only
no grazing comparsion,no grazing comparison
plant only regarding beef production,grazer characteristics
GHG modeling,climate emissions
grazing treatments are confounded by fertlization,missing data
N2O emissions,climate emissions
soil only,soil characteristics
overlapped with JS's 2347,repeated
"plant only, confounded by fertilizer & mowing",plants only
"plant only, grazing is confounded by defoliation",plants only
plant & soil nutrient cycling,plants only
model selection,modelling
farming,other
soil hydrology,other
sheep production,grazer characteristics
grazing is confounded by crop planting,missing data
review on grazing systems and animal production,review
plant only & modeling,modelling
crop planting,plants only
"plant only, mowing is grazing surrogate",plants only
grazing treatments is confounded with tree clearing,plants only
"data requested, but the request is declined",missing data
grazing is confounded by burning,fire
grazing treatments were confounded by logging,missing data
richness and abundance of carnivore species were estimated indirectly by track counts along stocking rates,predator study
synthesis on grazing systems,review
no grazing comparison (activity budgets paper),no grazing comparison
modelling and plants only,modelling
phosphorous only,soil nutrients only
no grazing comparison and plants only,no grazing comparison
"plants only, clipping not grazing",plants only
theoretical paper,review
"theoretical paper, plants only",review
abiotic only,soil characteristics
"plants only, no grazing comparison",plants only
"clipping, not grazing",no grazing comparison
"plants only, modelling, no grazing comparison",plants only
behavoiral study of extant population,behavioural ecology
"no grazing comparison, plants only, and modelling",no grazing comparison
aquatic grazing via sea urchins,aquatic
plants only and modelling,plants only
plants only and simulation,modelling
methods paper and plants only,methods
plants and abiotic response only,plants only
plants only and theoretical,plants only
"plants only, modelling",modelling
plants only and no grazing comparison,plants only
"modelling, plants only",modelling
weight gain only,grazer characteristics
methodology,methods
no grazing comparison (habitat selection),no grazing comparison
"no grazing comparison (management type, no quantitative metrics)",no grazing comparison
modelling and abiotic only,modelling
economic modelling,other
"modelling, plants only, no grazing comparison",modelling
cattle production only,grazer characteristics
sociological,other
"modelling, no grazing comparison",modelling
policy only,policy
cattle distribution and modelling only,grazer characteristics
clipping/greenhouse study,no grazing comparison
"abiotic only, no grazing comparison",no grazing comparison
diet quality only,grazer characteristics
no grazing comparison and abiotic only,no grazing comparison
plants only and mowing,plants only
plants and abiotic only,plants only
no grazing comparison (equivalent intensities) and mowing confounding,no grazing comparison
abiotic and modelling only,modelling
plants and no grazing comparison,no grazing comparison
cattle behavoir only,grazer characteristics
no grazing comparison (LUI metric used),no grazing comparison
no grazing comparison (confounded hunting),no grazing comparison
mowing (no grazing comparison),no grazing comparison
abiotic only and no grazing comparison,no grazing comparison
not precise about grazed ares,missing data
methods paper,methods
cattle performance under different grazing,grazer characteristics
economic study,other
"no intensity esitmate, no explicit grazing comparison",no grazing comparison
Land Use Intensity Metric rather than grazing,no grazing comparison
herder survery,no grazing comparison
cattle response only,no response species
GHG study,climate emissions
cattle performance,grazer characteristics
management study,no response species
farmer survey,no response species
cattle N isotope study,grazer characteristics
grazing x desertification,soil characteristics
cattle behaviour,behavioural ecology
cattle performance study,grazer characteristics
grazers only,no response species
grazer habitat modelling,no response species
"browser, plants only",plants only
cattle diet,grazer characteristics
protists grazing bacteria,no grazing comparison
plant response modelling,plants only
"mowing, not grazing",no grazing comparison
"the birds are the grazers, no other trophic levels",no response species
indirect grazing stuff,no grazing comparison
grazing management,no response species
grazing pattern study,no grazing comparison
"cattle presence, not grazing",grazer characteristics
forage preference of grazer,grazer characteristics
vegetation remote sensing,modelling
cattle urine study,grazer characteristics
grazing regime comparison,grazer characteristics
compostite metric of non-grazer taxa,no grazing comparison
Nutrient dynamics,nutrient cycling
grazing schedule rather than intensity,no grazing comparison
BSC,other
cattle management study,other
grazers effect on stream morphology,aquatic
spatial aspects of grazing on plant community,modelling
stream morphology study,aquatic
stocking rate study,grazer characteristics
grazer comparison,grazer characteristics
forage economics,other
grazer forage selection,behavioural ecology
rancher survey,review
cattle production modelling,modelling
ecosystem services,other
metanalysis,review
literature review,review
biofuel production,other
cattle foraging behaviour,behavioural ecology
grazing system performance,grazer characteristics
grazing management comparisons rather than grazing gradients,grazer characteristics
fungal colonization of plant stuff,plants only
runoff study,other
grazer performance,grazer characteristics
cattle habitat selection,grazer characteristics
grazing effects on horse behaviour,behavioural ecology
grazing effects on resource selection,behavioural ecology
forage nutritive value,grazer characteristics
grazing on algae,aquatic
grazing effects on other organism's habitat (plants),plants only
grazer effects comparison on plants,plants only
grazer resource selection,grazer characteristics
livestock production,grazer characteristics
grazing rotation rather than intensity comparisons,no grazing comparison
grazing impacts on burrow choice via vegetation. Difficult to understand/pull out data,missing data
fire vs fire+grazing.,fire
grazing and fire applied together,fire
cattle weight gain,grazer characteristics
no direct relationship between grazing and response. Proxied through vegetation height.,plants only
microbial gene diversity,no grazing comparison
no differentiation between mowing and grazing,missing data
proxies grazing intensity with distance from water,no grazing comparison
aquatic grazers,aquatic
microbial and fungal biomass only,plants only
too complicated to cleanly parse out grazed effect from total data,no grazing comparison
sociology paper?,other
gradient comparison but no data on intensity,no grazing comparison
"cattle movement, not grazing as main effect",no grazing comparison
inappropirate grazing metrics. Using home ranges.,no grazing comparison
fungal-insect grazing system,no grazing comparison
nutrient study,nutrient cycling
root grazers,no response species
salmon stocking rates,aquatic
review paper,review
livestock health,grazer characteristics
habitat restoration methods,methods
statistics paper,methods
