uniqueID,siteID,year,replicate,grazing.compare,last.grazed,grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value,,
1783,moderate intensity,2014,5,grazing ,0,cattle per ha,0.55,Arthropoda,Ocnogyna,loewii,native,number of nests,mean,7.111,Bar8,7.111
1783,moderate intensity,2014,5,no grazing,10,cattle per ha,0.55,Arthropoda,Ocnogyna,loewii,native,number of nests,mean,1.806,Bar9,1.806
1783,moderate intensity,2014,5,grazing ,0,cattle per ha,0.55,Arthropoda,Ocnogyna,loewii,native,number of nests,se,1.028,Bar10,8.139
1783,moderate intensity,2014,5,no grazing,10,cattle per ha,0.55,Arthropoda,Ocnogyna,loewii,native,number of nests,se,0.583,Bar11,2.389
1783,moderate intensity,2015,5,grazing ,0,cattle per ha,0.55,Arthropoda,Ocnogyna,loewii,native,number of nests,mean,14.139,Bar12,14.139
1783,moderate intensity,2015,5,no grazing,10,cattle per ha,0.55,Arthropoda,Ocnogyna,loewii,native,number of nests,mean,6.111,Bar13,6.111
1783,moderate intensity,2015,5,grazing ,0,cattle per ha,0.55,Arthropoda,Ocnogyna,loewii,native,number of nests,se,2.111,Bar14,16.25
1783,moderate intensity,2015,5,no grazing,10,cattle per ha,0.55,Arthropoda,Ocnogyna,loewii,native,number of nests,se,0.972,Bar15,7.083
1783,heavy intensity,2015,3,grazing ,0,cattle per ha,1.1,Arthropoda,Ocnogyna,loewii,native,number of solitary caterpillars,mean,2.762,Bar0,2.762
1783,heavy intensity,2015,3,no grazing,10,cattle per ha,1.1,Arthropoda,Ocnogyna,loewii,native,number of solitary caterpillars,mean,1.457,Bar1,1.457
1783,heavy intensity,2015,3,grazing ,0,cattle per ha,1.1,Arthropoda,Ocnogyna,loewii,native,number of solitary caterpillars,se,0.366,Bar2,3.128
1783,heavy intensity,2015,3,no grazing,10,cattle per ha,1.1,Arthropoda,Ocnogyna,loewii,native,number of solitary caterpillars,se,0.256,Bar3,1.713
1783,moderate intensity,2015,3,grazing ,0,cattle per ha,0.55,Arthropoda,Ocnogyna,loewii,native,number of solitary caterpillars,mean,3.018,Bar4,3.018
1783,moderate intensity,2015,3,no grazing,10,cattle per ha,0.55,Arthropoda,Ocnogyna,loewii,native,number of solitary caterpillars,mean,1.53,Bar5,1.53
1783,moderate intensity,2015,3,grazing ,0,cattle per ha,0.55,Arthropoda,Ocnogyna,loewii,native,number of solitary caterpillars,se,0.275,Bar6,3.293
1783,moderate intensity,2015,3,no grazing,10,cattle per ha,0.55,Arthropoda,Ocnogyna,loewii,native,number of solitary caterpillars,se,0.281,Bar7,1.811
1783,,2015,10,grazing ,0,cattle per ha,,Arthropoda,Ocnogyna,loewii,native,growth rate,mean,0.118,,
1783,,2015,10,no grazing,10,cattle per ha,,Arthropoda,Ocnogyna,loewii,native,growth rate,mean,0.105,,
1783,,2015,10,grazing ,0,cattle per ha,,Arthropoda,Ocnogyna,loewii,native,growth rate,se,0.008,,
1783,,2015,10,no grazing,10,cattle per ha,,Arthropoda,Ocnogyna,loewii,native,growth rate,se,0.006,,
