uniqueID,siteID,year,replicate,grazing.compare,last.grazed,grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value,Smaller taxonomic rank,Pollution tolerance value,Functional feeding group,Habit
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Annelida,,,,percent occurrence,count,0,Hirudiniea,Tolerant,Predator,Sprawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Annelida,,,,percent occurrence,count,0,Hirudiniea,Tolerant,Predator,Sprawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,,,,percent occurrence,count,83,Copepoda,,,
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,,,,percent occurrence,count,91,Copepoda,,,
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,,,,percent occurrence,count,74,Copepoda,,,
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,,,,percent occurrence,count,64,Copepoda,,,
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,,,,percent occurrence,count,78,Copepoda,,,
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Gammarus,,,percent occurrence,count,0,Amphipoda,,Collector-Gatherer,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Gammarus,,,percent occurrence,count,0,Amphipoda,,Collector-Gatherer,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Gammarus,,,percent occurrence,count,5,Amphipoda,,Collector-Gatherer,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Gammarus,,,percent occurrence,count,0,Amphipoda,,Collector-Gatherer,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Gammarus,,,percent occurrence,count,9,Amphipoda,,Collector-Gatherer,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,,,,percent occurrence,count,21,Decapoda,,Generalist,Generalist
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,,,,percent occurrence,count,9,Decapoda,,Generalist,Generalist
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,,,,percent occurrence,count,17,Decapoda,,Generalist,Generalist
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,,,,percent occurrence,count,9,Decapoda,,Generalist,Generalist
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,,,,percent occurrence,count,13,Decapoda,,Generalist,Generalist
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Mollusca,,,,percent occurrence,count,0,Gastropoda,,Scraper,Clinger
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Mollusca,,,,percent occurrence,count,4,Gastropoda,,Scraper,Clinger
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Mollusca,,,,percent occurrence,count,83,Gastropoda,,Scraper,Clinger
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Mollusca,,,,percent occurrence,count,0,Gastropoda,,Scraper,Clinger
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Mollusca,,,,percent occurrence,count,0,Gastropoda,,Scraper,Clinger
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Mollusca,,,,percent occurrence,count,4,Gastropoda,Tolerant,Collector-Gatherer,Generalist
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Mollusca,,,,percent occurrence,count,0,Gastropoda,Tolerant,Collector-Gatherer,Generalist
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Mollusca,,,,percent occurrence,count,4,Gastropoda,Tolerant,Collector-Gatherer,Generalist
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Mollusca,,,,percent occurrence,count,0,Gastropoda,Tolerant,Collector-Gatherer,Generalist
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Mollusca,,,,percent occurrence,count,0,Gastropoda,Tolerant,Collector-Gatherer,Generalist
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Mollusca,,,,percent occurrence,count,0,Gastropoda,,Collector-Gatherer,CP
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Mollusca,,,,percent occurrence,count,0,Gastropoda,,Collector-Gatherer,CP
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Mollusca,,,,percent occurrence,count,9,Gastropoda,,Collector-Gatherer,CP
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Mollusca,,,,percent occurrence,count,0,Gastropoda,,Collector-Gatherer,CP
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Mollusca,,,,percent occurrence,count,0,Gastropoda,,Collector-Gatherer,CP
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Mollusca,,,,percent occurrence,count,100,Gastropoda,Sensitive,Scraper,Clinger
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Mollusca,,,,percent occurrence,count,100,Gastropoda,Sensitive,Scraper,Clinger
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Mollusca,,,,percent occurrence,count,78,Gastropoda,Sensitive,Scraper,Clinger
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Mollusca,,,,percent occurrence,count,100,Gastropoda,Sensitive,Scraper,Clinger
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Mollusca,,,,percent occurrence,count,39,Gastropoda,Sensitive,Scraper,Clinger
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Mollusca,Corbicula,fluminea,,percent occurrence,count,0,Bivalva,,Collector-Filterer,Burrower
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Mollusca,Corbicula,fluminea,,percent occurrence,count,13,Bivalva,,Collector-Filterer,Burrower
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Mollusca,Corbicula,fluminea,,percent occurrence,count,4,Bivalva,,Collector-Filterer,Burrower
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Mollusca,Corbicula,fluminea,,percent occurrence,count,0,Bivalva,,Collector-Filterer,Burrower
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Mollusca,Corbicula,fluminea,,percent occurrence,count,4,Bivalva,,Collector-Filterer,Burrower
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Mollusca,,,,percent occurrence,count,63,Bivalva,Tolerant,Collector-Filterer,Burrower
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Mollusca,,,,percent occurrence,count,74,Bivalva,Tolerant,Collector-Filterer,Burrower
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Mollusca,,,,percent occurrence,count,91,Bivalva,Tolerant,Collector-Filterer,Burrower
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Mollusca,,,,percent occurrence,count,73,Bivalva,Tolerant,Collector-Filterer,Burrower
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Mollusca,,,,percent occurrence,count,70,Bivalva,Tolerant,Collector-Filterer,Burrower
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,,,,percent occurrence,count,88,Arachnida,,Predator,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,,,,percent occurrence,count,91,Arachnida,,Predator,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,,,,percent occurrence,count,96,Arachnida,,Predator,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,,,,percent occurrence,count,41,Arachnida,,Predator,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,,,,percent occurrence,count,52,Arachnida,,Predator,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Baetis,,,percent occurrence,count,33,Insecta,,Collector-Gatherer,Clinger
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Baetis,,,percent occurrence,count,39,Insecta,,Collector-Gatherer,Clinger
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Baetis,,,percent occurrence,count,39,Insecta,,Collector-Gatherer,Clinger
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Baetis,,,percent occurrence,count,5,Insecta,,Collector-Gatherer,Clinger
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Baetis,,,percent occurrence,count,17,Insecta,,Collector-Gatherer,Clinger
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Baetisca,,,percent occurrence,count,4,Insecta,,Collector-Gatherer,Sprawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Baetisca,,,percent occurrence,count,17,Insecta,,Collector-Gatherer,Sprawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Baetisca,,,percent occurrence,count,13,Insecta,,Collector-Gatherer,Sprawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Baetisca,,,percent occurrence,count,0,Insecta,,Collector-Gatherer,Sprawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Baetisca,,,percent occurrence,count,0,Insecta,,Collector-Gatherer,Sprawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Ephemera,,,percent occurrence,count,0,Insecta,,Collector-Gatherer,Burrower
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Ephemera,,,percent occurrence,count,4,Insecta,,Collector-Gatherer,Burrower
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Ephemera,,,percent occurrence,count,0,Insecta,,Collector-Gatherer,Burrower
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Ephemera,,,percent occurrence,count,0,Insecta,,Collector-Gatherer,Burrower
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Ephemera,,,percent occurrence,count,0,Insecta,,Collector-Gatherer,Burrower
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Ephemerella,,,percent occurrence,count,46,Insecta,Sensitive,Collector-Gatherer,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Ephemerella,,,percent occurrence,count,57,Insecta,Sensitive,Collector-Gatherer,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Ephemerella,,,percent occurrence,count,48,Insecta,Sensitive,Collector-Gatherer,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Ephemerella,,,percent occurrence,count,27,Insecta,Sensitive,Collector-Gatherer,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Ephemerella,,,percent occurrence,count,22,Insecta,Sensitive,Collector-Gatherer,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Eurylophella,,,percent occurrence,count,42,Insecta,,Collector-Gatherer,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Eurylophella,,,percent occurrence,count,52,Insecta,,Collector-Gatherer,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Eurylophella,,,percent occurrence,count,70,Insecta,,Collector-Gatherer,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Eurylophella,,,percent occurrence,count,18,Insecta,,Collector-Gatherer,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Eurylophella,,,percent occurrence,count,0,Insecta,,Collector-Gatherer,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Serratella,,,percent occurrence,count,0,Insecta,Sensitive,Collector-Gatherer,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Serratella,,,percent occurrence,count,4,Insecta,Sensitive,Collector-Gatherer,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Serratella,,,percent occurrence,count,0,Insecta,Sensitive,Collector-Gatherer,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Serratella,,,percent occurrence,count,0,Insecta,Sensitive,Collector-Gatherer,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Serratella,,,percent occurrence,count,0,Insecta,Sensitive,Collector-Gatherer,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Epeorus,,,percent occurrence,count,25,Insecta,Sensitive,Collector-Gatherer,Clinger
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Epeorus,,,percent occurrence,count,17,Insecta,Sensitive,Collector-Gatherer,Clinger
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Epeorus,,,percent occurrence,count,0,Insecta,Sensitive,Collector-Gatherer,Clinger
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Epeorus,,,percent occurrence,count,14,Insecta,Sensitive,Collector-Gatherer,Clinger
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Epeorus,,,percent occurrence,count,4,Insecta,Sensitive,Collector-Gatherer,Clinger
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Stenonema,,,percent occurrence,count,42,Insecta,,Scraper,Clinger
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Stenonema,,,percent occurrence,count,39,Insecta,,Scraper,Clinger
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Stenonema,,,percent occurrence,count,17,Insecta,,Scraper,Clinger
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Stenonema,,,percent occurrence,count,0,Insecta,,Scraper,Clinger
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Stenonema,,,percent occurrence,count,0,Insecta,,Scraper,Clinger
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Habrophlebia,vibrans,,percent occurrence,count,0,Insecta,Sensitive,Collector-Gatherer,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Habrophlebia,vibrans,,percent occurrence,count,4,Insecta,Sensitive,Collector-Gatherer,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Habrophlebia,vibrans,,percent occurrence,count,4,Insecta,Sensitive,Collector-Gatherer,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Habrophlebia,vibrans,,percent occurrence,count,0,Insecta,Sensitive,Collector-Gatherer,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Habrophlebia,vibrans,,percent occurrence,count,0,Insecta,Sensitive,Collector-Gatherer,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Paraleptophlebia,,,percent occurrence,count,83,Insecta,,Collector-Gatherer,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Paraleptophlebia,,,percent occurrence,count,70,Insecta,,Collector-Gatherer,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Paraleptophlebia,,,percent occurrence,count,30,Insecta,,Collector-Gatherer,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Paraleptophlebia,,,percent occurrence,count,5,Insecta,,Collector-Gatherer,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Paraleptophlebia,,,percent occurrence,count,0,Insecta,,Collector-Gatherer,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Cordulegaster,,,percent occurrence,count,4,Insecta,,Predator,Burrower
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Cordulegaster,,,percent occurrence,count,0,Insecta,,Predator,Burrower
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Cordulegaster,,,percent occurrence,count,0,Insecta,,Predator,Burrower
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Cordulegaster,,,percent occurrence,count,0,Insecta,,Predator,Burrower
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Cordulegaster,,,percent occurrence,count,0,Insecta,,Predator,Burrower
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Gomphus,,,percent occurrence,count,4,Insecta,,Predator,Burrower
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Gomphus,,,percent occurrence,count,4,Insecta,,Predator,Burrower
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Gomphus,,,percent occurrence,count,9,Insecta,,Predator,Burrower
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Gomphus,,,percent occurrence,count,0,Insecta,,Predator,Burrower
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Gomphus,,,percent occurrence,count,0,Insecta,,Predator,Burrower
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Lanthus,,,percent occurrence,count,33,Insecta,Sensitive,Predator,Burrower
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Lanthus,,,percent occurrence,count,26,Insecta,Sensitive,Predator,Burrower
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Lanthus,,,percent occurrence,count,0,Insecta,Sensitive,Predator,Burrower
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Lanthus,,,percent occurrence,count,0,Insecta,Sensitive,Predator,Burrower
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Lanthus,,,percent occurrence,count,9,Insecta,Sensitive,Predator,Burrower
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Stylogomphus,albistylus,,percent occurrence,count,4,Insecta,,Predator,Burrower
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Stylogomphus,albistylus,,percent occurrence,count,0,Insecta,,Predator,Burrower
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Stylogomphus,albistylus,,percent occurrence,count,4,Insecta,,Predator,Burrower
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Stylogomphus,albistylus,,percent occurrence,count,0,Insecta,,Predator,Burrower
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Stylogomphus,albistylus,,percent occurrence,count,0,Insecta,,Predator,Burrower
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Allocapnia,,,percent occurrence,count,75,Insecta,Sensitive,Shredder,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Allocapnia,,,percent occurrence,count,74,Insecta,Sensitive,Shredder,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Allocapnia,,,percent occurrence,count,43,Insecta,Sensitive,Shredder,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Allocapnia,,,percent occurrence,count,18,Insecta,Sensitive,Shredder,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Allocapnia,,,percent occurrence,count,39,Insecta,Sensitive,Shredder,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Suwallia,,,percent occurrence,count,33,Insecta,Sensitive,Predator,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Suwallia,,,percent occurrence,count,48,Insecta,Sensitive,Predator,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Suwallia,,,percent occurrence,count,35,Insecta,Sensitive,Predator,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Suwallia,,,percent occurrence,count,0,Insecta,Sensitive,Predator,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Suwallia,,,percent occurrence,count,9,Insecta,Sensitive,Predator,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Sweltsa,,,percent occurrence,count,4,Insecta,Sensitive,Predator,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Sweltsa,,,percent occurrence,count,0,Insecta,Sensitive,Predator,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Sweltsa,,,percent occurrence,count,0,Insecta,Sensitive,Predator,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Sweltsa,,,percent occurrence,count,0,Insecta,Sensitive,Predator,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Sweltsa,,,percent occurrence,count,0,Insecta,Sensitive,Predator,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Sweltsa,,,percent occurrence,count,4,Insecta,Sensitive,Predator,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Sweltsa,,,percent occurrence,count,,Insecta,Sensitive,Predator,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Sweltsa,,,percent occurrence,count,,Insecta,Sensitive,Predator,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Sweltsa,,,percent occurrence,count,,Insecta,Sensitive,Predator,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Sweltsa,,,percent occurrence,count,,Insecta,Sensitive,Predator,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Leuctra,,,percent occurrence,count,71,Insecta,Sensitive,Shredder,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Leuctra,,,percent occurrence,count,83,Insecta,Sensitive,Shredder,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Leuctra,,,percent occurrence,count,43,Insecta,Sensitive,Shredder,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Leuctra,,,percent occurrence,count,14,Insecta,Sensitive,Shredder,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Leuctra,,,percent occurrence,count,22,Insecta,Sensitive,Shredder,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Amphinemura,,,percent occurrence,count,25,Insecta,,Shredder,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Amphinemura,,,percent occurrence,count,17,Insecta,,Shredder,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Amphinemura,,,percent occurrence,count,9,Insecta,,Shredder,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Amphinemura,,,percent occurrence,count,5,Insecta,,Shredder,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Amphinemura,,,percent occurrence,count,13,Insecta,,Shredder,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Tallaperla,,,percent occurrence,count,42,Insecta,Sensitive,Shredder,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Tallaperla,,,percent occurrence,count,30,Insecta,Sensitive,Shredder,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Tallaperla,,,percent occurrence,count,9,Insecta,Sensitive,Shredder,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Tallaperla,,,percent occurrence,count,0,Insecta,Sensitive,Shredder,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Tallaperla,,,percent occurrence,count,9,Insecta,Sensitive,Shredder,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Acroneuria,,,percent occurrence,count,8,Insecta,Sensitive,Predator,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Acroneuria,,,percent occurrence,count,4,Insecta,Sensitive,Predator,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Acroneuria,,,percent occurrence,count,0,Insecta,Sensitive,Predator,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Acroneuria,,,percent occurrence,count,0,Insecta,Sensitive,Predator,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Acroneuria,,,percent occurrence,count,0,Insecta,Sensitive,Predator,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Isoperla,,,percent occurrence,count,42,Insecta,Sensitive,Predator,Crawler
2662,2,2002,,grazed,0.00,cattle/ha,1.04,Arthropoda,Isoperla,,,percent occurrence,count,61,Insecta,Sensitive,Predator,Crawler
2662,3,2002,,grazed,0.00,cattle/ha,1.54,Arthropoda,Isoperla,,,percent occurrence,count,35,Insecta,Sensitive,Predator,Crawler
2662,4,2002,,grazed,0.00,cattle/ha,2.13,Arthropoda,Isoperla,,,percent occurrence,count,9,Insecta,Sensitive,Predator,Crawler
2662,5,2002,,grazed,0.00,cattle/ha,2.85,Arthropoda,Isoperla,,,percent occurrence,count,26,Insecta,Sensitive,Predator,Crawler
2662,1,2002,,ungrazed,12-15,cattle/ha,0,Arthropoda,Remenus,bilobatus,,percent occurrence,count,8,Insecta,Sensitive,Predator,Crawler
