uniqueID,siteID,year,replicate,grazing.compare,last.grazed (year),grazing.estimate,grazing.value,Taxa,Genus,Species,Status,Estimate,Stat,Value,Functional Group,Unit,,,,,
1302,UA: Sand dunes,2001; 2002,,grazed,0,feces frequency,lowest,small and medium mammal,NA,NA,NA,richness,count,8,NA,,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Rhabditis,NA,NA,abundance,mean,5.4,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Dauerlarvae,NA,NA,abundance,mean,1,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Mesorhabditis,NA,NA,abundance,mean,1.1,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Rhabdolaimus,NA,NA,abundance,mean,0.2,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Panagrolaimus,NA,NA,abundance,mean,8.7,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Monhystera,NA,NA,abundance,mean,1.7,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Diplogasteroides,NA,NA,abundance,mean,0.9,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Achromadora,NA,NA,abundance,mean,0,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Acrobeloides,NA,NA,abundance,mean,52.6,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Acrobeles,NA,NA,abundance,mean,0.5,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Cephalobus,NA,NA,abundance,mean,8.2,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Eucephalobus,NA,NA,abundance,mean,1.8,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Chiloplacus,NA,NA,abundance,mean,0.6,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Teratocephalus,NA,NA,abundance,mean,0.1,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Plectus,NA,NA,abundance,mean,2,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Wilsonema,NA,NA,abundance,mean,0,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Prismatolaimus,NA,NA,abundance,mean,1.4,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Alaimus,NA,NA,abundance,mean,0.2,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Aphelenchoides,NA,NA,abundance,mean,21.2,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Aphelenchus,NA,NA,abundance,mean,23.8,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Aprutides,NA,NA,abundance,mean,0.7,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Ditylenchus,NA,NA,abundance,mean,2.7,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Psilenchus,NA,NA,abundance,mean,3.8,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Ecphyadophora,NA,NA,abundance,mean,0,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Diptherophora,NA,NA,abundance,mean,0.3,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Tylencholaimus,NA,NA,abundance,mean,40.6,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Mononchus,NA,NA,abundance,mean,0,predatory,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Mylonchulus,NA,NA,abundance,mean,0.5,predatory,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Labronema,NA,NA,abundance,mean,0.3,predatory,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Discolaimus,NA,NA,abundance,mean,0,predatory,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Pungentus,NA,NA,abundance,mean,0,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Quadsianematidae,NA,NA,abundance,mean,0,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Eudorylaimus,NA,NA,abundance,mean,5.5,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Other dorylaimids,NA,NA,abundance,mean,1.4,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Mesodorylaimus,NA,NA,abundance,mean,7.7,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Aporcelaimidae,NA,NA,abundance,mean,0.8,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Dorylaimus,NA,NA,abundance,mean,0.8,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Prodorylaimus,NA,NA,abundance,mean,0.7,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Tylenchus,NA,NA,abundance,mean,78,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Filenchus,NA,NA,abundance,mean,59.9,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Paratylenchus,NA,NA,abundance,mean,0.7,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Gracilacus,NA,NA,abundance,mean,4.9,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Pratylenchus,NA,NA,abundance,mean,59.3,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Hoplolaimus,NA,NA,abundance,mean,0.1,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Helicotylenchus,NA,NA,abundance,mean,18.5,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Tylenchorhynchus,NA,NA,abundance,mean,20.4,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Hoplotylus,NA,NA,abundance,mean,0.2,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Criconemoides,NA,NA,abundance,mean,0.1,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,1,2007; 2008,,grazed,0,animals/ha,14,nematode,Xiphinema,NA,NA,abundance,mean,0.1,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Rhabditis,NA,NA,abundance,mean,3.9,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Dauerlarvae,NA,NA,abundance,mean,2.4,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Mesorhabditis,NA,NA,abundance,mean,0.7,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Rhabdolaimus,NA,NA,abundance,mean,0.1,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Panagrolaimus,NA,NA,abundance,mean,12.2,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Monhystera,NA,NA,abundance,mean,3.5,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Diplogasteroides,NA,NA,abundance,mean,0,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Achromadora,NA,NA,abundance,mean,0,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Acrobeloides,NA,NA,abundance,mean,66.7,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Acrobeles,NA,NA,abundance,mean,0.3,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Cephalobus,NA,NA,abundance,mean,6.2,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Eucephalobus,NA,NA,abundance,mean,3,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Chiloplacus,NA,NA,abundance,mean,0.4,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Teratocephalus,NA,NA,abundance,mean,0.8,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Plectus,NA,NA,abundance,mean,5.1,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Wilsonema,NA,NA,abundance,mean,0.3,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Prismatolaimus,NA,NA,abundance,mean,0.8,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Alaimus,NA,NA,abundance,mean,0.3,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Aphelenchoides,NA,NA,abundance,mean,25.8,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Aphelenchus,NA,NA,abundance,mean,18.6,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Aprutides,NA,NA,abundance,mean,0.8,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Ditylenchus,NA,NA,abundance,mean,4.3,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Psilenchus,NA,NA,abundance,mean,11.4,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Ecphyadophora,NA,NA,abundance,mean,0,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Diptherophora,NA,NA,abundance,mean,0.1,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Tylencholaimus,NA,NA,abundance,mean,27.5,fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Mononchus,NA,NA,abundance,mean,0,predatory,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Mylonchulus,NA,NA,abundance,mean,0.3,predatory,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Labronema,NA,NA,abundance,mean,0.2,predatory,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Discolaimus,NA,NA,abundance,mean,0.1,predatory,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Pungentus,NA,NA,abundance,mean,0.1,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Quadsianematidae,NA,NA,abundance,mean,0,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Eudorylaimus,NA,NA,abundance,mean,3,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Other dorylaimids,NA,NA,abundance,mean,3.3,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Mesodorylaimus,NA,NA,abundance,mean,8.1,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Aporcelaimidae,NA,NA,abundance,mean,1.2,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Dorylaimus,NA,NA,abundance,mean,0.8,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Prodorylaimus,NA,NA,abundance,mean,3.7,omnivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Tylenchus,NA,NA,abundance,mean,87.4,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Filenchus,NA,NA,abundance,mean,92.4,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Paratylenchus,NA,NA,abundance,mean,1.6,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Gracilacus,NA,NA,abundance,mean,1.5,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Pratylenchus,NA,NA,abundance,mean,83.1,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Hoplolaimus,NA,NA,abundance,mean,0.9,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Helicotylenchus,NA,NA,abundance,mean,8.4,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Tylenchorhynchus,NA,NA,abundance,mean,7.1,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Hoplotylus,NA,NA,abundance,mean,0.9,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Criconemoides,NA,NA,abundance,mean,0,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,2,2007; 2008,,grazed,0,animals/ha,14,nematode,Xiphinema,NA,NA,abundance,mean,0.8,plant-feeders/fungivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Rhabditis,NA,NA,abundance,mean,2,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Dauerlarvae,NA,NA,abundance,mean,0.6,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Mesorhabditis,NA,NA,abundance,mean,0.2,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Rhabdolaimus,NA,NA,abundance,mean,0.3,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Panagrolaimus,NA,NA,abundance,mean,4.1,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Monhystera,NA,NA,abundance,mean,2.7,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Diplogasteroides,NA,NA,abundance,mean,0.3,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Achromadora,NA,NA,abundance,mean,0.1,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Acrobeloides,NA,NA,abundance,mean,41,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Acrobeles,NA,NA,abundance,mean,0,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Cephalobus,NA,NA,abundance,mean,3.7,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Eucephalobus,NA,NA,abundance,mean,1.5,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Chiloplacus,NA,NA,abundance,mean,0.6,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Teratocephalus,NA,NA,abundance,mean,0,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Plectus,NA,NA,abundance,mean,5.7,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Wilsonema,NA,NA,abundance,mean,0,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
1304,3,2007; 2008,,grazed,0,animals/ha,14,nematode,Prismatolaimus,NA,NA,abundance,mean,1.5,bacterivores,average/100g dry soil across 3 sampling dates,,,,,
